A,Alpha Time Zone,+1:00
ACDT,Australian Central Daylight Time,+10:30
ACST,Australian Central Standard Time,+9:30
ADT,Atlantic Daylight Time,-3:00
AEDT,Australian Eastern Daylight Time,+11:00
AEST,Australian Eastern Standard Time,+10:00
AFT,Afghanistan Time,+4:30
AKDT,Alaska Daylight Time,-8:00
AKST,Alaska Standard Time,-9:00
ALMT,Alma-Ata Time,+6:00
,Armenia Summer Time,+5:00
AMST,Amazon Summer Time,-3:00
,Armenia Time,+4:00
AMT,Amazon Time,-4:00
ANAST,Anadyr Summer Time,+12:00
ANAT,Anadyr Time,+12:00
AQTT,Aqtobe Time,+5:00
ART,Argentina Time,-3:00
,Arabia Standard Time,+3:00
AST,Atlantic Standard Time,-4:00
AWDT,Australian Western Daylight Time,+9:00
AWST,Australian Western Standard Time,+8:00
AZOST,Azores Summer Time,0:00
AZOT,Azores Time,-1:00
AZST,Azerbaijan Summer Time,+5:00
AZT,Azerbaijan Time,+4:00
B,Bravo Time Zone,+2:00
BNT,Brunei Darussalam Time,+8:00
BOT,Bolivia Time,-4:00
BRST,Brasilia Summer Time,-2:00
BRT,Brasília time,-3:00
,Bangladesh Standard Time,+6:00
BST,British Summer Time,+1:00
BTT,Bhutan Time,+6:00
C,Charlie Time Zone,+3:00
CAST,Casey Time,+8:00
CAT,Central Africa Time,+2:00
CCT,Cocos Islands Time,+6:30
,Cuba Daylight Time,-4:00
CDT,Central Daylight Time,-5:00
CEST,Central European Summer Time,+2:00
CET,Central European Time,+1:00
CHADT,Chatham Island Daylight Time,+13:45
CHAST,Chatham Island Standard Time,+12:45
CKT,Cook Island Time,-10:00
CLST,Chile Summer Time,-3:00
CLT,Chile Standard Time,-4:00
COT,Colombia Time,-5:00
,China Standard Time,+8:00
CST,Central Standard Time,-6:00
,Cuba Standard Time,-5:00
CVT,Cape Verde Time,-1:00
CXT,Christmas Island Time,+7:00
ChST,Chamorro Standard Time,+10:00
D,Delta Time Zone,+4:00
DAVT,Davis Time,+7:00
E,Echo Time Zone,+5:00
EASST,Easter Island Summer Time,-5:00
EAST,Easter Island Standard Time,-6:00
